"","ID","EventID","TimeBefore","IslandBefore","IslandAfter","EventDate","EventTimeDiff","EventMonth","EventX1","EventY1","EventX2","EventY2","AreaBefore","AreaAfter","IslandDistance","Date","SinceJudas","IceCover","IceThickness","MinDistIslands","MeanDist_k5","MeanDist_k10","MeanDist_all","N0_EventX1","N0_EventY1","AreaBefore_km2","AreaAfter_km2","IslandDistance_km","Judas","Ice","Sex","SteppingStones","IslandDensity","Islands_within","WaterTravelDist","LeastCostLength","SinceJudas_inv","WaterTravelKM","LeastCostKM","DistDifference","PerDifference","SteppingStoneDensity"
"1","R1","R1_1",1028,"12226","12227","2022-06-06 19:00:00",2,"6",181939.018487403,6699785.32051195,181957.44791746,6699808.66759991,1346390.60932601,44918.1577105294,18.2228146249616,"2022-06-06",-1,0,0,0.0105257366655117,0.22804040354151,0.346836012201919,49.1110650005819,181056.754028006,6700017.34645273,1.34639060932601,0.0449181577105294,0.0182228146249616,"Before","Water","Female",0,0.310668591043845,59,21.6825653118501,1050.9519494249,0,0.0216825653118501,1.0509519494249,0.0034597506868885,0.189858194691249,0
"2","R1","R1_2",4,"12227","12226","2022-06-06 23:00:00",4,"6",181957.44791746,6699808.66759991,181652.687432546,6700340.01428884,44918.1577105294,1346390.60932601,18.2228146249616,"2022-06-06",-1,0,0,0.032447482153186,0.308453990642461,0.396450795807923,49.1139841306956,181957.44791746,6699808.66759991,0.0449181577105294,1.34639060932601,0.0182228146249616,"Before","Water","Female",0,0.280426637401079,59,36.2841514597273,726.722092687432,0,0.0362841514597273,0.726722092687432,0.0180613368347657,0.991138702032632,0
"3","R1","R1_3",1290,"12226","12227","2022-07-30 17:00:00",16,"7",181011.587609394,6700591.32587475,182144.414690458,6699902.88116964,1346390.60932601,44918.1577105294,18.2228146249616,"2022-07-30",-1,0,0,0.0835945329513496,0.300244624164679,0.388512957160408,49.6528125199339,181011.587609394,6700591.32587475,1.34639060932601,0.0449181577105294,0.0182228146249616,"Before","Water","Female",0,0.27549314313157,74,34.6600689195855,1498.16554492486,0,0.0346600689195855,1.49816554492486,0.0164372542946239,0.902015118570551,0
"4","R1","R1_4",6,"12227","12226","2022-07-30 23:00:00",4,"7",182144.554184255,6699905.10770926,180731.590132628,6700334.19487134,44918.1577105294,1346390.60932601,18.2228146249616,"2022-07-30",-1,0,0,0.224519828706827,0.25683987906179,0.354578174611778,49.0875338140184,182144.554184255,6699905.10770926,0.0449181577105294,1.34639060932601,0.0182228146249616,"Before","Water","Female",0,0.278211593731359,74,33.7492578084727,1677.05098312485,0,0.0337492578084727,1.67705098312485,0.0155264431835111,0.852033206892364,0
"5","R1","R1_5",192,"12226","11637","2022-08-07 23:00:00",4,"8",181059.865387384,6700043.2673639,180401.364192965,6700746.11805375,1346390.60932601,17899.7546355194,234.669337896984,"2022-08-07",-1,0,0,0.363633549132714,0.381701820655217,0.43812739651411,49.4656411462798,181059.865387384,6700043.2673639,1.34639060932601,0.0178997546355194,0.234669337896984,"Before","Water","Female",2,0.379261462343474,70,179.82423713435,1095.6733089749,0,0.17982423713435,1.0956733089749,-0.054845100762634,-0.233712257656388,1.82536161428554
"6","R1","R1_6",2,"11637","11638","2022-08-08 01:00:00",2,"8",180401.364192965,6700746.11805375,180716.586415304,6700837.58079797,17899.7546355194,39046.1599409841,99.3840130207621,"2022-08-08",-1,0,0,0.141385146652348,0.282330668843043,0.437845505761014,49.8999957038497,180401.364192965,6700746.11805375,0.0178997546355194,0.0390461599409841,0.0993840130207621,"Before","Water","Female",1,0.287520539026734,42,91.5762259577222,371.913012023697,0,0.0915762259577222,0.371913012023697,-0.00780778706303989,-0.0785618010958038,2.68880078854645
"7","R1","R1_7",16,"11638","12226","2022-08-08 17:00:00",16,"8",180716.586415304,6700837.58079797,181211.161337752,6698933.06230177,39046.1599409841,1346390.60932601,80.9244368776138,"2022-08-08",-1,0,0,0.162042707645885,0.302525299711048,0.413183524670186,49.8263035144648,180716.586415304,6700837.58079797,0.0390461599409841,1.34639060932601,0.0809244368776138,"Before","Water","Female",0,0.293213828425096,88,84.3623929805973,2129.26457862481,0,0.0843623929805973,2.12926457862481,0.0034379561029835,0.0424835344629324,0
"8","R10","R10_1",1204,"21798","21236","2021-05-25 01:00:00",4,"5",210928.169268685,6666924.97372207,209885.295050807,6666605.74815921,362921.578304596,154606.20070355,387.917051634736,"2021-05-25",-1,0,0,0.322564497292566,0.43498234971135,0.589281432765371,43.2290429662638,210928.169268685,6666924.97372207,0.362921578304596,0.15460620070355,0.387917051634736,"Before","Water","Male",0,0.147330275748825,28,426.951626542353,1162.75534829989,0,0.426951626542353,1.16275534829989,0.039034574907617,0.100626086796442,0
"9","R10","R10_2",144,"21236","21798","2021-05-31 01:00:00",4,"5",210067.295443261,6666678.60267242,210925.028026743,6666963.24231938,154606.20070355,362921.578304596,387.917051634736,"2021-05-31",-1,0,0,0.144912975106579,0.452573949443417,0.597790882479817,43.1981711206859,210067.295443261,6666678.60267242,0.15460620070355,0.362921578304596,0.387917051634736,"Before","Water","Male",0,0.120384538874692,27,422.289675063028,955.32889043741,0,0.422289675063028,0.95532889043741,0.034372623428292,0.0886081786903696,0
"10","R10","R10_3",72,"21798","21236","2021-06-03 01:00:00",4,"6",211066.627775502,6666772.05644695,210061.861064198,6666503.45865775,362921.578304596,154606.20070355,387.917051634736,"2021-06-03",-1,0,0,0.018702106642663,0.33609499696495,0.57017081875046,43.2620308025101,211049.49037182,6666831.55486558,0.362921578304596,0.15460620070355,0.387917051634736,"Before","Water","Male",0,0.112330802244965,24,412.527145547892,1100.6733089749,0,0.412527145547892,1.1006733089749,0.024610093913156,0.0634416399316443,0
